,ProjectName,PrimaryLanguage,Stars,TotalOfPullRequests,TotalOfIssues,TotalOfForks,Engagement
771,JamieMason/ImageOptim-CLI,TypeScript,3284,33,161,125,106.33333333333333
772,vuejs/vuefire,TypeScript,3283,875,365,283,507.6666666666667
773,mariusandra/pigeon-maps,TypeScript,3282,76,96,144,105.33333333333333
774,liyupi/mianshiya-public,TypeScript,3271,13,24,1007,348.0
775,tsiege/Tech-Interview-Cheat-Sheet,TypeScript,3269,22,7,869,299.3333333333333
776,timc1/kbar,TypeScript,3266,103,140,118,120.33333333333333
777,dubzzz/fast-check,TypeScript,3265,2886,432,142,1153.3333333333333
778,rafgraph/spa-github-pages,TypeScript,3254,18,44,533,198.33333333333334
779,JamesIves/github-pages-deploy-action,TypeScript,3249,855,246,281,460.6666666666667
780,nestjsx/crud,TypeScript,3247,260,547,405,404.0
781,angular/zone.js,TypeScript,3247,587,570,424,527.0
782,ottomated/CrewLink,TypeScript,3245,89,541,547,392.3333333333333
783,nomcopter/react-mosaic,TypeScript,3244,72,119,192,127.66666666666667
784,DominicTobias/react-image-crop,TypeScript,3238,139,379,323,280.3333333333333
785,Splidejs/splide,TypeScript,3236,48,514,354,305.3333333333333
786,actions/checkout,TypeScript,3229,209,563,1059,610.3333333333334
787,canvg/canvg,TypeScript,3225,991,697,588,758.6666666666666
788,bitjson/typescript-starter,TypeScript,3205,152,120,238,170.0
789,elrumordelaluz/reactour,TypeScript,3203,124,367,306,265.6666666666667
790,retorquere/zotero-better-bibtex,TypeScript,3202,451,1750,230,810.3333333333334
791,wagmi-dev/wagmi,TypeScript,3197,418,220,352,330.0
792,makenotion/notion-sdk-js,TypeScript,3194,182,161,349,230.66666666666666
793,dsherret/ts-morph,TypeScript,3189,132,1031,154,439.0
794,giscus/giscus,TypeScript,3182,531,147,143,273.6666666666667
795,osdnk/react-native-reanimated-bottom-sheet,TypeScript,3175,97,295,322,238.0
796,BoostIO/BoostNote-App,TypeScript,3174,933,512,326,590.3333333333334
797,actions/cache,TypeScript,3173,324,519,805,549.3333333333334
798,async-labs/saas,TypeScript,3170,76,110,544,243.33333333333334
799,stoplightio/prism,TypeScript,3169,1506,586,269,787.0
800,qawolf/qawolf,TypeScript,3154,801,0,114,305.0
801,FirebaseExtended/reactfire,TypeScript,3153,250,226,397,291.0
802,photoview/photoview,TypeScript,3150,213,408,245,288.6666666666667
803,privatenumber/esbuild-loader,TypeScript,3147,108,103,88,99.66666666666667
804,YunYouJun/air-conditioner,TypeScript,3147,30,101,460,197.0
805,prabhuignoto/react-chrono,TypeScript,3146,160,116,158,144.66666666666666
806,zpao/qrcode.react,TypeScript,3137,145,121,287,184.33333333333334
807,microsoft/TypeScriptSamples,TypeScript,3130,89,69,1831,663.0
808,kentcdodds/match-sorter,TypeScript,3126,78,63,117,86.0
809,bubkoo/html-to-image,TypeScript,3126,101,224,306,210.33333333333334
810,graphql-nexus/nexus,TypeScript,3121,430,623,274,442.3333333333333
811,pmndrs/leva,TypeScript,3117,208,170,121,166.33333333333334
812,artsy/eigen,TypeScript,3103,5993,1536,500,2676.3333333333335
813,glacambre/firenvim,TypeScript,3103,958,483,111,517.3333333333334
814,jamiebuilds/tinykeys,TypeScript,3099,146,30,65,80.33333333333333
815,microsoft/azure-pipelines-tasks,TypeScript,3096,9784,7249,2395,6476.0
816,slackapi/node-slack-sdk,TypeScript,3095,772,768,667,735.6666666666666
817,iamhosseindhv/notistack,TypeScript,3093,164,359,278,267.0
818,blacksmithgu/obsidian-dataview,TypeScript,3087,112,857,196,388.3333333333333
819,oasis-engine/engine,TypeScript,3080,729,343,215,429.0
820,midwayjs/pandora,TypeScript,3077,193,0,174,122.33333333333333
821,drawrowfly/tiktok-scraper,TypeScript,3074,95,687,658,480.0
822,alexa/alexa-skills-kit-sdk-for-nodejs,TypeScript,3068,212,507,742,487.0
823,bytedance/bytemd,TypeScript,3066,59,166,238,154.33333333333334
824,common-voice/common-voice,TypeScript,3065,1808,2014,754,1525.3333333333333
825,pawelmalak/flame,TypeScript,3063,95,300,180,191.66666666666666
826,rainbow-me/rainbow,TypeScript,3061,4121,177,426,1574.6666666666667
827,cozmo/jsQR,TypeScript,3052,63,163,543,256.3333333333333
828,dvtng/react-loading-skeleton,TypeScript,3042,73,69,134,92.0
829,wclr/ts-node-dev,TypeScript,3042,72,253,113,146.0
830,bokuweb/react-rnd,TypeScript,3032,583,298,279,386.6666666666667
831,ondras/my-mind,TypeScript,3017,24,138,628,263.3333333333333
832,cloudflare/miniflare,TypeScript,3014,99,311,128,179.33333333333334
833,talyssonoc/node-api-boilerplate,TypeScript,3013,60,46,513,206.33333333333334
834,apollographql/apollo-tooling,TypeScript,3012,1715,931,473,1039.6666666666667
835,typestyle/typestyle,TypeScript,3009,141,211,86,146.0
836,ampproject/worker-dom,TypeScript,3007,966,167,140,424.3333333333333
837,ryo-ma/github-profile-trophy,TypeScript,3006,73,81,410,188.0
838,algolia/docsearch,TypeScript,2999,1327,293,287,635.6666666666666
839,Uniswap/v3-core,TypeScript,2999,302,225,1475,667.3333333333334
840,sofn-xyz/mailing,TypeScript,2996,155,111,51,105.66666666666667
841,golang/vscode-go,TypeScript,2996,232,2011,584,942.3333333333334
842,misskey-dev/misskey,TypeScript,2993,4896,4192,439,3175.6666666666665
843,petyosi/react-virtuoso,TypeScript,2982,167,514,194,291.6666666666667
844,algolia/instantsearch.js,TypeScript,2978,3420,1600,431,1817.0
845,ng-select/ng-select,TypeScript,2970,543,1587,798,976.0
846,react-monaco-editor/react-monaco-editor,TypeScript,2968,329,305,323,319.0
847,ant-design/pro-components,TypeScript,2961,1676,4335,960,2323.6666666666665
848,alm-tools/alm,TypeScript,2957,331,272,176,259.6666666666667
849,meliorence/react-native-render-html,TypeScript,2954,143,444,549,378.6666666666667
850,idiotWu/smooth-scrollbar,TypeScript,2952,72,307,386,255.0
851,Tencent/tmagic-editor,TypeScript,2950,328,112,511,317.0
852,nandorojo/moti,TypeScript,2950,52,165,84,100.33333333333333
853,soketi/soketi,TypeScript,2949,548,135,125,269.3333333333333
854,react-native-community/hooks,TypeScript,2947,270,41,172,161.0
855,didi/LogicFlow,TypeScript,2938,364,461,506,443.6666666666667
856,NotionX/react-notion-x,TypeScript,2935,194,201,327,240.66666666666666
857,tw-in-js/twind,TypeScript,2921,136,174,74,128.0
858,CSFrequency/react-firebase-hooks,TypeScript,2914,83,188,257,176.0
859,troisjs/trois,TypeScript,2907,37,127,227,130.33333333333334
860,Musish/Musish,TypeScript,2907,255,295,215,255.0
861,phiresky/sql.js-httpvfs,TypeScript,2905,7,31,86,41.333333333333336
862,MicrosoftDX/Vorlonjs,TypeScript,2901,203,254,267,241.33333333333334
863,ansh/jiffyreader.com,TypeScript,2897,89,106,157,117.33333333333333
864,palantir/plottable,TypeScript,2889,2061,1510,222,1264.3333333333333
865,YunYouJun/cook,TypeScript,2888,13,27,172,70.66666666666667
866,samccone/bundle-buddy,TypeScript,2886,54,26,84,54.666666666666664
867,wasdk/WebAssemblyStudio,TypeScript,2884,317,187,265,256.3333333333333
868,taskforcesh/bullmq,TypeScript,2882,695,664,227,528.6666666666666
869,tsconfig/bases,TypeScript,2870,86,44,118,82.66666666666667
870,antvis/L7,TypeScript,2868,839,579,491,636.3333333333334
871,amilajack/eslint-plugin-compat,TypeScript,2865,319,200,113,210.66666666666666
872,jitsucom/jitsu,TypeScript,2865,523,450,171,381.3333333333333
873,HelloOraculi/komiser,TypeScript,2860,88,129,231,149.33333333333334
874,steveukx/git-js,TypeScript,2859,408,450,285,381.0
875,Shopify/flash-list,TypeScript,2854,394,198,70,220.66666666666666
876,wanasit/chrono,TypeScript,2854,142,331,325,266.0
877,iconoir-icons/iconoir,TypeScript,2848,53,152,114,106.33333333333333
878,Yqnn/svg-path-editor,TypeScript,2846,34,45,183,87.33333333333333
879,alixaxel/chrome-aws-lambda,TypeScript,2840,44,240,251,178.33333333333334
880,sunface/datav,TypeScript,2832,13,0,471,161.33333333333334
881,crawlab-team/artipub,TypeScript,2826,104,81,467,217.33333333333334
882,kucherenko/jscpd,TypeScript,2823,276,271,169,238.66666666666666
883,actions/github-script,TypeScript,2817,117,152,293,187.33333333333334
884,aimhubio/aim,TypeScript,2815,1566,698,173,812.3333333333334
885,piscinajs/piscina,TypeScript,2815,192,91,77,120.0
886,reactGo/reactGo,TypeScript,2809,604,417,581,534.0
887,alexreardon/memoize-one,TypeScript,2798,202,42,79,107.66666666666667
888,esvit/ng-table,TypeScript,2796,175,873,879,642.3333333333334
889,LiskHQ/lisk-sdk,TypeScript,2788,3308,4316,474,2699.3333333333335
890,docker/build-push-action,TypeScript,2786,264,432,435,377.0
891,redpanda-data/console,TypeScript,2782,155,339,244,246.0
892,sparrow-js/sparrow,TypeScript,2781,8,34,406,149.33333333333334
893,modern-js-dev/modern.js,TypeScript,2781,1741,190,183,704.6666666666666
894,frontity/frontity,TypeScript,2780,610,312,241,387.6666666666667
895,Picovoice/porcupine,TypeScript,2776,396,401,397,398.0
896,ijjk/notion-blog,TypeScript,2776,34,55,346,145.0
897,alibaba/pont,TypeScript,2773,200,139,224,187.66666666666666
898,FormidableLabs/nuka-carousel,TypeScript,2764,505,474,607,528.6666666666666
899,thecodingmachine/workadventure,TypeScript,2758,1621,1096,456,1057.6666666666667
900,alibaba/lightproxy,TypeScript,2751,102,174,223,166.33333333333334
901,propelml/propel,TypeScript,2744,376,143,73,197.33333333333334
902,outline/rich-markdown-editor,TypeScript,2743,210,282,556,349.3333333333333
903,exhibitionist-digital/ultra,TypeScript,2739,115,68,56,79.66666666666667
904,nodegui/svelte-nodegui,TypeScript,2733,16,52,46,38.0
905,w3tecch/express-typescript-boilerplate,TypeScript,2722,95,163,766,341.3333333333333
906,tagspaces/tagspaces,TypeScript,2721,550,1213,354,705.6666666666666
907,oliverschwendener/ueli,TypeScript,2721,210,744,189,381.0
908,tomastrajan/angular-ngrx-material-starter,TypeScript,2718,382,191,878,483.6666666666667
909,CodecWang/opencv-python-tutorial,TypeScript,2716,12,18,934,321.3333333333333
910,Renovamen/playground-macos,TypeScript,2713,3,24,252,93.0
911,nicoespeon/gitgraph.js,TypeScript,2707,157,267,338,254.0
912,bernaferrari/FigmaToCode,TypeScript,2699,36,23,146,68.33333333333333
913,Zizzamia/perfume.js,TypeScript,2699,85,112,100,99.0
914,davidjerleke/embla-carousel,TypeScript,2698,61,247,99,135.66666666666666
915,code-hike/codehike,TypeScript,2692,131,136,65,110.66666666666667
916,rbuckton/reflect-metadata,TypeScript,2691,23,116,162,100.33333333333333
917,decaffeinate/decaffeinate,TypeScript,2690,1860,692,124,892.0
918,sequelize/sequelize-auto,TypeScript,2682,195,344,470,336.3333333333333
919,labring/laf,TypeScript,2681,168,153,240,187.0
920,dolanmiu/docx,TypeScript,2680,943,624,350,639.0
921,ngneat/falso,TypeScript,2673,161,123,98,127.33333333333333
922,botui/botui,TypeScript,2671,35,129,394,186.0
923,scopsy/await-to-js,TypeScript,2657,18,35,132,61.666666666666664
924,elsaland/elsa,TypeScript,2653,84,39,53,58.666666666666664
925,garden-io/garden,TypeScript,2650,2385,932,203,1173.3333333333333
926,panva/jose,TypeScript,2648,45,97,239,127.0
927,ts-essentials/ts-essentials,TypeScript,2647,206,123,96,141.66666666666666
928,codesandbox/sandpack,TypeScript,2646,393,170,176,246.33333333333334
929,kimlimjustin/xplorer,TypeScript,2644,148,80,207,145.0
930,AzureAD/microsoft-authentication-library-for-js,TypeScript,2644,2147,2845,2190,2394.0
931,premieroctet/openchakra,TypeScript,2644,115,47,229,130.33333333333334
932,cloud-annotations/cloud-annotations,TypeScript,2643,83,188,465,245.33333333333334
933,notadd/notadd,TypeScript,2643,607,168,390,388.3333333333333
934,jeffijoe/awilix,TypeScript,2639,99,204,121,141.33333333333334
935,RemoteDebug/remotedebug-ios-webkit-adapter,TypeScript,2632,37,175,210,140.66666666666666
936,tamagui/tamagui,TypeScript,2630,111,142,60,104.33333333333333
937,codemix/ts-sql,TypeScript,2625,4,3,43,16.666666666666668
938,parca-dev/parca,TypeScript,2617,1681,274,151,702.0
939,Urigo/graphql-mesh,TypeScript,2616,3835,627,242,1568.0
940,thi-ng/umbrella,TypeScript,2613,146,212,111,156.33333333333334
941,actionsflow/actionsflow,TypeScript,2611,9,25,100,44.666666666666664
942,jupyter-widgets/ipywidgets,TypeScript,2609,1782,1834,866,1494.0
943,homebridge/HAP-NodeJS,TypeScript,2602,248,724,644,538.6666666666666
944,aws-amplify/amplify-cli,TypeScript,2602,4380,5761,711,3617.3333333333335
945,tone-row/flowchart-fun,TypeScript,2600,256,76,189,173.66666666666666
946,andywer/threads.js,TypeScript,2599,184,258,148,196.66666666666666
947,ant-design/ant-design-mobile-rn,TypeScript,2597,656,606,582,614.6666666666666
948,thomasdondorf/puppeteer-cluster,TypeScript,2593,269,222,248,246.33333333333334
949,socketio/socket.io-redis-adapter,TypeScript,2593,156,303,477,312.0
950,home-assistant/frontend,TypeScript,2585,7666,5269,1800,4911.666666666667
951,survivejs/webpack-merge,TypeScript,2584,69,130,131,110.0
952,imbhargav5/rooks,TypeScript,2584,1309,217,188,571.3333333333334
953,streamich/libreact,TypeScript,2582,65,17,80,54.0
954,Swizec/useAuth,TypeScript,2580,236,47,109,130.66666666666666
955,ixartz/Next-js-Boilerplate,TypeScript,2575,41,19,591,217.0
956,wexond/browser-base,TypeScript,2568,320,337,392,349.6666666666667
957,tlaverdure/laravel-echo-server,TypeScript,2563,122,480,482,361.3333333333333
958,dabbott/react-express,TypeScript,2563,46,24,138,69.33333333333333
959,googlemaps/google-maps-services-js,TypeScript,2563,549,322,600,490.3333333333333
960,FrDH/mmenu-js,TypeScript,2561,81,1193,635,636.3333333333334
961,callstack/react-native-testing-library,TypeScript,2559,822,355,222,466.3333333333333
962,nwtgck/piping-server,TypeScript,2557,698,26,140,288.0
963,jest-community/vscode-jest,TypeScript,2555,325,559,240,374.6666666666667
964,krasimir/navigo,TypeScript,2555,60,255,247,187.33333333333334
965,infinitered/gluegun,TypeScript,2552,555,214,129,299.3333333333333
966,mgcrea/node-xlsx,TypeScript,2547,49,138,262,149.66666666666666
967,umijs/dumi,TypeScript,2541,326,875,971,724.0
968,honojs/hono,TypeScript,2540,388,228,79,231.66666666666666
969,auth0/angular2-jwt,TypeScript,2538,245,501,498,414.6666666666667
970,jeremybarbet/react-native-modalize,TypeScript,2534,160,290,263,237.66666666666666
971,multiprocessio/datastation,TypeScript,2533,199,99,90,129.33333333333334
972,jakubroztocil/rrule,TypeScript,2533,181,375,458,338.0
973,brunnolou/react-morph,TypeScript,2531,27,18,61,35.333333333333336
974,WebThingsIO/gateway,TypeScript,2525,1501,1406,347,1084.6666666666667
975,bikeshaving/crank,TypeScript,2524,90,127,70,95.66666666666667
976,hujiulong/gcoord,TypeScript,2520,166,34,328,176.0
977,IvanGoncharov/graphql-faker,TypeScript,2515,86,100,211,132.33333333333334
978,TanStack/router,TypeScript,2514,137,73,119,109.66666666666667
979,fangpenlin/avataaars-generator,TypeScript,2511,59,41,325,141.66666666666666
980,lokalise/i18n-ally,TypeScript,2505,291,528,179,332.6666666666667
981,YousefED/typescript-json-schema,TypeScript,2504,212,297,262,257.0
982,Atyantik/react-pwa,TypeScript,2495,69,151,304,174.66666666666666
983,raycast/extensions,TypeScript,2491,2179,1111,957,1415.6666666666667
984,surmon-china/vue-codemirror,TypeScript,2488,31,138,346,171.66666666666666
985,bitwarden/web,TypeScript,2484,1110,574,390,691.3333333333334
986,dotnet/try,TypeScript,2479,499,408,493,466.6666666666667
987,LeekHub/leek-fund,TypeScript,2477,100,251,347,232.66666666666666
988,ineo6/hosts,TypeScript,2476,6,24,259,96.33333333333333
989,fireship-io/flamethrower,TypeScript,2474,51,27,102,60.0
990,elbywan/wretch,TypeScript,2473,33,114,60,69.0
991,ChromeDevTools/devtools-frontend,TypeScript,2472,33,0,392,141.66666666666666
992,esbuild-kit/tsx,TypeScript,2471,45,62,30,45.666666666666664
993,vuejs/router,TypeScript,2470,977,605,765,782.3333333333334
994,ademilter/bricklayer,TypeScript,2470,8,34,132,58.0
995,open-wa/wa-automate-nodejs,TypeScript,2466,1037,1814,495,1115.3333333333333
996,Tinkoff/taiga-ui,TypeScript,2462,2027,803,268,1032.6666666666667
997,typescript-exercises/typescript-exercises,TypeScript,2462,94,21,403,172.66666666666666
998,splitbee/react-notion,TypeScript,2461,69,40,124,77.66666666666667
999,scullyio/scully,TypeScript,2460,920,689,256,621.6666666666666
